id,entry_folio,inventory_id,catalog_id,part_number,quantity,available_quantity,is_fifo_layer_only,previous_quantity,new_quantity,product_model,description,customer,zone_code,location_code,reference_code,batch_no,notes,registered_by,movement_at,created_at
534,EMB-ENT-20260504-151328-971,262,262,EAD00576604,240,240,0,701,941,pending,pending,LG,pending,SIN-UBICACION,EAD00576604,,QR: EAD00576604 | Qty registrada: 240,Sergio Torres,2026-05-04 09:13:24,2026-05-04 15:13:28
535,EMB-ENT-20260504-152500-481,402,402,EBR23966207,120,120,0,-121,-1,VF1_Better_X,NULL,LG,pending,SIN-UBICACION,EBR23966207,,QR: EBR23966207 | Qty registrada: 120,Sergio Torres,2026-05-04 09:24:57,2026-05-04 15:25:00
536,EMB-ENT-20260504-155801-474,262,262,EAD00576604,90,90,0,791,881,pending,pending,LG,pending,SIN-UBICACION,EAD00576604,,QR: EAD00576604 | Qty registrada: 90,Sergio Torres,2026-05-04 09:57:58,2026-05-04 15:58:01
539,EMB-ENT-20260504-170842-448,402,402,EBR23966207,300,199,0,-101,199,VF1_Better_X,NULL,LG,pending,SIN-UBICACION,EBR23966207,,QR: EBR23966207 | Qty registrada: 300,Braulio Meza,2026-05-04 11:08:40,2026-05-04 17:08:42
540,EMB-ENT-20260504-171241-811,3,3,EBR82230426,360,360,0,-48,312,OMEGA 7,PCB,LG,pending,SIN-UBICACION,EBR82230426,,QR: EBR82230426 | Qty registrada: 360,Sergio Torres,2026-05-04 11:12:38,2026-05-04 17:12:41
542,EMB-ENT-20260504-175859-350,570,570,ACQ91482496,120,120,0,-462,-342,pending,pending,LG,pending,SIN-UBICACION,ACQ91482496,,QR: ACQ91482496 | Qty registrada: 120,Sergio Torres,2026-05-04 11:58:56,2026-05-04 17:58:59
543,EMB-ENT-20260504-175916-873,364,364,EBR43713605,3,3,0,134,137,MM Cancun Best Gas Slide in LSGL5847X,PCB,LG,pending,SIN-UBICACION,EBR43713605,,QR: EBR43713605 | Qty registrada: 3,Sergio Torres,2026-05-04 11:59:13,2026-05-04 17:59:16
544,EMB-ENT-20260504-175925-514,74,74,EBR37437078,10,10,0,-608,-598,24 VS4M L CRAFT DUAL I/MAKER AMERICA,PCB,LG,pending,SIN-UBICACION,EBR37437078,,QR: EBR37437078 | Qty registrada: 10,Sergio Torres,2026-05-04 11:59:23,2026-05-04 17:59:25
545,EMB-ENT-20260504-175935-913,365,365,EBR43713606,34,34,0,96,130,MM Cancun Better Gas Slide in LSGL5845X,PCB,LG,pending,SIN-UBICACION,EBR43713606,,QR: EBR43713606 | Qty registrada: 34,Sergio Torres,2026-05-04 11:59:32,2026-05-04 17:59:35
546,EMB-ENT-20260504-180000-476,392,392,EBR24212306,180,180,0,1949,2129,MM Nova Basic Gas,NULL,LG,pending,SIN-UBICACION,EBR24212306,,QR: EBR24212306 | Qty registrada: 180,Sergio Torres,2026-05-04 11:59:57,2026-05-04 18:00:00
547,EMB-ENT-20260504-180013-175,391,391,EBR24212304,98,98,0,1802,1900,NOVA,PCB,LG,pending,SIN-UBICACION,EBR24212304,,QR: EBR24212304 | Qty registrada: 98,Sergio Torres,2026-05-04 12:00:10,2026-05-04 18:00:13
548,EMB-ENT-20260504-180104-771,16,16,EBR30299361,80,80,0,4,84,QUANTUM-B,PCB,LG,pending,SIN-UBICACION,EBR30299361,,QR: EBR30299361 | Qty registrada: 80,Sergio Torres,2026-05-04 12:01:01,2026-05-04 18:01:04
549,EMB-ENT-20260504-180125-501,19,19,EBR30299364,24,24,0,0,24,RAPTOR,PCB,LG,pending,SIN-UBICACION,EBR30299364,,QR: EBR30299364 | Qty registrada: 24,Sergio Torres,2026-05-04 12:01:21,2026-05-04 18:01:25
550,EMB-ENT-20260504-180134-641,146,146,EBR83845046,34,34,0,-70,-36,MAJESTY,PCB,LG,pending,SIN-UBICACION,EBR83845046,,QR: EBR83845046 | Qty registrada: 34,Sergio Torres,2026-05-04 12:01:31,2026-05-04 18:01:34
551,EMB-ENT-20260504-180157-553,145,145,EBR83845044,100,100,0,47,147,MAJESTY,PCB,LG,pending,SIN-UBICACION,EBR83845044,,QR: EBR83845044 | Qty registrada: 100,Sergio Torres,2026-05-04 12:01:53,2026-05-04 18:01:57
552,EMB-ENT-20260504-180216-263,99,99,EBR87463760,60,60,0,-528,-468,Majesty1,PCB MAIN,LG,pending,SIN-UBICACION,EBR87463760,,QR: EBR87463760 | Qty registrada: 60,Sergio Torres,2026-05-04 12:02:13,2026-05-04 18:02:17
553,EMB-ENT-20260504-180306-666,16,16,EBR30299361,80,80,0,84,164,QUANTUM-B,PCB,LG,pending,SIN-UBICACION,EBR30299361,,QR: EBR30299361 | Qty registrada: 80,Sergio Torres,2026-05-04 12:03:02,2026-05-04 18:03:06
554,EMB-ENT-20260504-180403-834,98,98,EBR87463759,40,40,0,-340,-300,Majesty1 3D IW Craft,PCB MAIN,LG,pending,SIN-UBICACION,EBR87463759,,QR: EBR87463759 | Qty registrada: 40,Sergio Torres,2026-05-04 12:04:00,2026-05-04 18:04:03
555,EMB-ENT-20260504-180426-174,18,18,EBR30299363,2,2,0,-507,-505,RAPTOR,PCB,LG,pending,SIN-UBICACION,EBR30299363,,QR: EBR30299363 | Qty registrada: 2,Sergio Torres,2026-05-04 12:04:23,2026-05-04 18:04:26
556,EMB-ENT-20260504-180502-493,109,109,EBR86093798,20,20,0,14,34,Majesty1 L Single DI Colombia 115V,NULL,LG,pending,SIN-UBICACION,EBR86093798,,QR: EBR86093798 | Qty registrada: 20,Sergio Torres,2026-05-04 12:04:59,2026-05-04 18:05:02
557,EMB-ENT-20260504-180531-498,99,99,EBR87463760,14,14,0,-468,-454,Majesty1,PCB MAIN,LG,pending,SIN-UBICACION,EBR87463760,,QR: EBR87463760 | Qty registrada: 14,Sergio Torres,2026-05-04 12:05:27,2026-05-04 18:05:31
558,EMB-ENT-20260504-191230-609,272,272,EAD00576610,150,150,0,2835,2985,pending,pending,LG,pending,SIN-UBICACION,EAD00576610,,QR: EAD00576610 | Qty registrada: 150,Sergio Torres,2026-05-04 13:12:27,2026-05-04 19:12:30
559,EMB-ENT-20260504-191245-596,272,272,EAD00576610,160,160,0,2985,3145,pending,pending,LG,pending,SIN-UBICACION,EAD00576610,,QR: EAD00576610 | Qty registrada: 160,Sergio Torres,2026-05-04 13:12:42,2026-05-04 19:12:45
560,EMB-ENT-20260504-195401-905,388,388,EBR24212302,5,4,0,760,765,NOVA,PCB,LG,pending,SIN-UBICACION,EBR24212302,,QR: EBR24212302 | Qty registrada: 5,Sergio Torres,2026-05-04 13:53:58,2026-05-04 19:54:01
562,EMB-ENT-20260504-201631-854,84,84,EBR80757421,120,120,0,-1076,-956,QUANTUM-T,PCB,LG,pending,SIN-UBICACION,EBR80757421,,QR: EBR80757421 | Qty registrada: 120,Braulio Meza,2026-05-04 14:16:29,2026-05-04 20:16:31
563,EMB-ENT-20260504-204752-420,84,84,EBR80757421,100,100,0,-1076,-976,QUANTUM-T,PCB,LG,pending,SIN-UBICACION,EBR80757421,,QR: EBR80757421 | Qty registrada: 100,Braulio Meza,2026-05-04 14:47:49,2026-05-04 20:47:52
564,EMB-ENT-20260504-210104-179,243,243,EAD65948153,60,14,0,14,74,pending,pending,LG,pending,SIN-UBICACION,EAD65948153,,QR: EAD65948153 | Qty registrada: 60,Sergio Torres,2026-05-04 15:01:01,2026-05-04 21:01:04
565,EMB-ENT-20260504-213834-845,84,84,EBR80757421,240,240,0,-1076,-836,QUANTUM-T,PCB,LG,pending,SIN-UBICACION,EBR80757421,,QR: EBR80757421 | Qty registrada: 240,Braulio Meza,2026-05-04 15:38:32,2026-05-04 21:38:34
566,EMB-ENT-20260504-213940-856,406,406,EBR23966211,360,360,0,-1119,-759,VF3_W_USA,NULL,LG,pending,SIN-UBICACION,EBR23966211,,QR: EBR23966211 | Qty registrada: 360,Sergio Torres,2026-05-04 15:39:37,2026-05-04 21:39:40
567,EMB-ENT-20260504-215359-501,317,317,ACQ30372826,240,240,0,-651,-411,VS,Display,LG,pending,SIN-UBICACION,ACQ30372826,,QR: ACQ30372826 | Qty registrada: 240,Sergio Torres,2026-05-04 15:53:57,2026-05-04 21:54:00
568,EMB-ENT-20260504-215834-535,340,340,ACQ30372869,10,10,0,19,29,pending,pending,LG,pending,SIN-UBICACION,ACQ30372869,,QR: ACQ30372869 | Qty registrada: 10,Sergio Torres,2026-05-04 15:58:30,2026-05-04 21:58:34
569,EMB-ENT-20260504-215921-512,330,330,ACQ30372840,3,3,0,-40,-37,VS,Display,LG,pending,SIN-UBICACION,ACQ30372840,,QR: ACQ30372840 | Qty registrada: 3,Sergio Torres,2026-05-04 15:59:17,2026-05-04 21:59:21
570,EMB-ENT-20260504-220142-945,319,319,ACQ30372828,19,19,0,57,76,VS,Display,LG,pending,SIN-UBICACION,ACQ30372828,,QR: ACQ30372828 | Qty registrada: 19,Sergio Torres,2026-05-04 16:01:39,2026-05-04 22:01:42
571,EMB-ENT-20260504-220303-720,329,329,ACQ30372839,80,80,0,-801,-721,VS,Display,LG,pending,SIN-UBICACION,ACQ30372839,,QR: ACQ30372839 | Qty registrada: 80,Sergio Torres,2026-05-04 16:03:00,2026-05-04 22:03:03
572,EMB-ENT-20260504-220437-565,336,336,ACQ30372853,45,45,0,320,365,RAPTOR,Display,LG,pending,SIN-UBICACION,ACQ30372853,,QR: ACQ30372853 | Qty registrada: 45,Sergio Torres,2026-05-04 16:04:34,2026-05-04 22:04:37
573,EMB-ENT-20260504-220514-202,328,328,ACQ30372837,27,27,0,0,27,VS,Display,LG,pending,SIN-UBICACION,ACQ30372837,,QR: ACQ30372837 | Qty registrada: 27,Sergio Torres,2026-05-04 16:05:11,2026-05-04 22:05:14
574,EMB-ENT-20260504-220608-281,347,347,ACQ30500847,42,42,0,-235,-193,pending,pending,LG,pending,SIN-UBICACION,ACQ30500847,,QR: ACQ30500847 | Qty registrada: 42,Sergio Torres,2026-05-04 16:06:05,2026-05-04 22:06:08
575,EMB-ENT-20260504-220728-902,84,84,EBR80757421,80,80,0,-836,-756,QUANTUM-T,PCB,LG,pending,SIN-UBICACION,EBR80757421,,QR: EBR80757421 | Qty registrada: 80,Sergio Torres,2026-05-04 16:07:25,2026-05-04 22:07:28
576,EMB-ENT-20260504-221211-438,392,392,EBR24212306,240,240,0,2129,2369,MM Nova Basic Gas,NULL,LG,pending,SIN-UBICACION,EBR24212306,,QR: EBR24212306 | Qty registrada: 240,Rubi Garcia,2026-05-04 16:12:08,2026-05-04 22:12:11
