id,return_folio,inventory_id,catalog_id,part_number,return_quantity,loss_quantity,previous_quantity,new_quantity,product_model,description,customer,zone_code,location_code,reason,remarks,registered_by,movement_at,created_at
5,EMB-RET-20260504-173749-988,299,299,EBR41039152,33,0,-36,-3,MAJESTY,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:37:49,2026-05-04 23:37:50
6,EMB-RET-20260504-173822-587,85,85,EBR80757422,28,0,-680,-652,QUANTUM-T,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:38:22,2026-05-04 23:38:22
7,EMB-RET-20260504-173839-348,88,88,EBR80757432,74,0,-452,-378,Quantum-T 20,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:38:39,2026-05-04 23:38:39
8,EMB-RET-20260504-173918-760,283,283,EBR33105505,45,0,-665,-620,VT,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:39:18,2026-05-04 23:39:18
9,EMB-RET-20260504-174053-129,284,284,EBR33828703,22,0,10,32,VT,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:40:53,2026-05-04 23:40:53
10,EMB-RET-20260504-174122-154,410,410,EBR23966221,171,0,-53,118,VF1_Better_L_MN,NULL,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:41:22,2026-05-04 23:41:22
11,EMB-RET-20260504-174136-192,398,398,EBR23966202,51,0,-50,1,VF,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:41:36,2026-05-04 23:41:36
12,EMB-RET-20260504-174152-359,397,397,EBR23966201,1,0,0,1,VF,PCB,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:41:52,2026-05-04 23:41:52
13,EMB-RET-20260504-174321-239,142,142,ABQ30226610,209,0,-141,68,pending,pending,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:43:21,2026-05-04 23:43:21
14,EMB-RET-20260504-174340-150,302,302,ACQ91411409,227,0,-600,-373,RAPTOR,Display,LG,pending,,Exceso,,Rubi Garcia,2026-05-04 17:43:40,2026-05-04 23:43:40
